target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Random	NaN	1.0424798590174503E-4	3.4510486172019155E-7	3.962008470604148E-4	1.4657168941232612E-6
1000	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Normalized kNN (full)	NaN	6.035845376532806E-301	0.0	1.397444461E-314	0.0
1000	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Popularity	NaN	1.740137492782066E-234	1.6725887927028684E-260	3.2135159407761614E-241	4.742772915013128E-286
1000	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Normalized kNN (test)	NaN	4.8262972512561823E-4	0.007344617410474338	0.0017070502563575247	0.002840297068399197
1000	iMF (test)	Random	NaN	0.0	0.0	0.0	0.0
1000	iMF (test)	kNN (full)	NaN	0.01336161771239446	1.5485129013136775E-4	0.09908907451260984	0.002451619515081588
1000	iMF (test)	Normalized kNN (full)	NaN	8.384134912496752E-41	3.0744890140497134E-25	7.644007847523832E-22	1.733944309868348E-25
1000	iMF (test)	kNN (test)	NaN	0.5719937745647118	0.3079253422304301	0.05473992720270035	0.0981646675561263
1000	iMF (test)	Popularity	NaN	4.020892389297125E-68	8.060247788575148E-71	1.2241074080063803E-60	2.0176767277437353E-75
1000	iMF (test)	iMF (full)	NaN	8.950869091474084E-12	7.337675077987379E-9	7.275093969484172E-6	1.1109125712553898E-7
1000	iMF (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
1000	Random	Normalized kNN (full)	NaN	9.840677122600094E-292	0.0	7.528647946965011E-303	0.0
1000	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Random	Popularity	NaN	6.593837280055191E-226	5.421973975095449E-248	4.109713907698379E-229	8.958186007056448E-272
1000	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
1000	Random	Normalized kNN (test)	NaN	0.26010388741868384	0.0037367118106416248	0.18782631736266542	0.016487749357589208
1000	kNN (full)	Normalized kNN (full)	NaN	1.622764215405641E-75	1.2666140561957157E-53	9.236360743943583E-40	3.707881705357643E-55
1000	kNN (full)	kNN (test)	NaN	6.461541528448256E-7	8.155371589341679E-12	3.7718992128670047E-6	7.45825118645489E-11
1000	kNN (full)	Popularity	NaN	1.2816680251167006E-113	1.525108941271937E-119	2.2857456864236167E-90	3.137552279008301E-123
1000	kNN (full)	iMF (full)	NaN	2.8239291289274102E-5	0.17359103316987567	0.009802684586038585	0.07316232935902085
1000	kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Normalized kNN (full)	kNN (test)	NaN	2.1366955393364986E-45	8.866218920251903E-25	7.090697821800548E-19	9.767121370166394E-24
1000	Normalized kNN (full)	Popularity	NaN	1.1917344581782647E-10	9.189560161814374E-21	8.683669606369599E-18	5.04738346398113E-25
1000	Normalized kNN (full)	iMF (full)	NaN	8.641448761606301E-79	2.36919323527969E-51	2.5827602716159074E-41	2.3261340322350073E-51
1000	Normalized kNN (full)	Normalized kNN (test)	NaN	7.275439161793786E-290	0.0	9.081656719925776E-304	0.0
1000	kNN (test)	Popularity	NaN	7.436436503064856E-119	6.445003252150232E-119	8.464716891818915E-92	1.1010477070157837E-120
1000	kNN (test)	iMF (full)	NaN	1.3823518919380726E-15	5.944886471354105E-12	1.0824991644754722E-10	1.5409493143095265E-12
1000	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Popularity	iMF (full)	NaN	5.176686199326155E-119	2.188974535143996E-110	2.852109119539031E-90	2.5907894348955217E-114
1000	Popularity	Normalized kNN (test)	NaN	5.712848270422732E-223	3.6077353111089815E-250	9.891859559836444E-229	2.492326871632834E-274
1000	iMF (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
