target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Random	NaN	0.01842523607087207	0.002389288564236816	0.16426141159389684	0.0186547771455771
1000	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Normalized kNN (full)	7.090187154874031E-82	4.19473028747E-313	0.0	0.0	0.0
1000	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Popularity	NaN	1.8145964127158938E-247	7.443910951386244E-264	1.4335269580601915E-252	4.515161174699626E-295
1000	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
1000	Average Rating	Normalized kNN (test)	NaN	0.003850203068625374	0.004643649598512055	0.014843127537246896	0.00831424740334471
1000	iMF (test)	Random	NaN	0.0	0.0	0.0	0.0
1000	iMF (test)	kNN (full)	NaN	7.218498116782162E-4	0.04281078333627193	0.232965751486783	0.07379242016125559
1000	iMF (test)	Normalized kNN (full)	7.090187154874031E-82	2.0366018243944773E-50	1.7435967758124815E-30	3.917665212340979E-24	1.1906128629965436E-29
1000	iMF (test)	kNN (test)	NaN	0.44296172510619214	0.18449354866905354	0.14870416003867337	0.1578281555995973
1000	iMF (test)	Popularity	NaN	4.457167422886455E-70	1.3637558862358352E-72	8.489028153488333E-65	6.125089395279143E-78
1000	iMF (test)	iMF (full)	NaN	3.025248978370488E-15	6.906605007806001E-11	1.7950831826052218E-5	1.568080030296847E-9
1000	iMF (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
1000	Random	Normalized kNN (full)	7.090187154874031E-82	5.677867944807911E-307	0.0	1.49E-321	0.0
1000	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Random	Popularity	NaN	3.426161921560039E-244	2.6800816286625865E-262	5.490378040010761E-252	3.912717536239041E-290
1000	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
1000	Random	Normalized kNN (test)	NaN	0.8641996375901863	0.44581685139478133	0.47642552190314147	0.9267750243056037
1000	kNN (full)	Normalized kNN (full)	7.090187154874031E-82	3.7086356434938495E-92	8.451220109381002E-53	3.8360273675452546E-38	2.745990076828715E-52
1000	kNN (full)	kNN (test)	NaN	2.2893008586671995E-5	8.478945434857787E-7	2.722836518758583E-4	3.7678274138552466E-6
1000	kNN (full)	Popularity	NaN	6.558369780987387E-123	3.113841783600767E-120	5.370778338646773E-94	8.463792731952582E-125
1000	kNN (full)	iMF (full)	NaN	1.7336910562574104E-5	1.5381045707726118E-5	0.0029589342698364994	3.643621081391974E-5
1000	kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Normalized kNN (full)	kNN (test)	7.090187154874031E-82	2.342504088704318E-62	1.6002136213579063E-28	4.718533932842672E-22	8.72988168279115E-28
1000	Normalized kNN (full)	Popularity	7.090187154874031E-82	4.361935244354651E-8	2.6925708771777574E-19	2.1235195583321154E-17	1.8755410239324706E-22
1000	Normalized kNN (full)	iMF (full)	7.090187154874031E-82	2.433120891690638E-100	3.728894731395718E-64	1.0501819090949313E-46	3.560965078118895E-64
1000	Normalized kNN (full)	Normalized kNN (test)	7.090187154874031E-82	8.903713731525448E-303	0.0	1.0984529965E-313	0.0
1000	kNN (test)	Popularity	NaN	6.58467589070272E-133	2.2436088759567067E-129	9.860653776083373E-104	3.4975232453554265E-132
1000	kNN (test)	iMF (full)	NaN	8.834268583425162E-15	6.572346911779034E-16	1.4497344900679747E-9	6.9776898689286614E-15
1000	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1000	Popularity	iMF (full)	NaN	5.1664799239177244E-129	8.740931195383601E-123	1.6726305403327635E-98	1.955136365954291E-127
1000	Popularity	Normalized kNN (test)	NaN	1.1079442068207802E-238	1.152170581704418E-258	3.765086638526723E-242	3.6363987596131734E-286
1000	iMF (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
