fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Average Rating	1.0	0.36680988311253104	0.27531456953642386	0.19350877266258856	0.184512964970297
3	100	iMF (test)	1.0	0.629820916854427	0.5138741721854305	0.44524303359122247	0.38915750780222325
3	100	Normalized kNN (full)	1.0	0.5814003505832167	0.4644370860927152	0.36043820596716536	0.3363132440700924
3	100	Random	1.0	0.14256704158023012	0.13236754966887418	0.08452922416333841	0.08332666783141059
3	100	iMF (full)	1.0	0.7300072709947737	0.5794701986754967	0.5122766320143498	0.4458313853638384
3	100	Popularity	1.0	0.5118269159289891	0.4283112582781457	0.35145528612781446	0.31417418782069406
3	100	kNN (test)	1.0	0.6881802293735404	0.5449834437086093	0.4816010077342851	0.4179266518332553
3	100	Normalized kNN (test)	1.0	0.4156041918826738	0.34299668874172184	0.2512746324772023	0.23587659985141146
3	100	kNN (full)	1.0	0.6941301189783894	0.5487748344370861	0.48342776133416737	0.4206119341087375
2	100	Average Rating	1.0	0.36727096383797125	0.2834271523178808	0.208533847884092	0.19472700788616043
2	100	iMF (test)	1.0	0.623892565772599	0.5105629139072848	0.4487265146260215	0.3909703753352576
1	100	Average Rating	1.0	0.31206506950130486	0.2735430463576159	0.19626775700038335	0.1868077626003926
1	100	iMF (test)	1.0	0.6237805859306231	0.5102649006622516	0.4483475734628387	0.39002271740255506
2	100	Normalized kNN (full)	1.0	0.5821241894611237	0.4659933774834437	0.36004169356075433	0.3378797516937382
2	100	Random	1.0	0.13881714454183414	0.12867549668874173	0.0825637269689595	0.08169118339141924
1	100	Normalized kNN (full)	1.0	0.5804383768718941	0.4638907284768212	0.3621154465319291	0.3381975988357403
1	100	Random	1.0	0.14010205287986482	0.13048013245033113	0.08365729962691291	0.08246046828975225
2	100	iMF (full)	1.0	0.7262981589891202	0.5801490066225166	0.511184999565677	0.4476733669707474
2	100	Popularity	1.0	0.5119202629307477	0.42387417218543044	0.3488064640124821	0.3116778157378224
1	100	iMF (full)	1.0	0.726096719021723	0.5774172185430464	0.5092712515102973	0.44571239534168
2	100	kNN (test)	1.0	0.6899068453058061	0.5460430463576159	0.48321204094710557	0.4202556220473499
1	100	Popularity	1.0	0.521885377993574	0.43362582781456954	0.3573488770412913	0.3187695762589755
1	100	kNN (test)	1.0	0.6905409530193966	0.5464569536423841	0.4837883666482833	0.4208329610905139
2	100	Normalized kNN (test)	1.0	0.4108539547495075	0.34246688741721854	0.2569264848360628	0.23895681329086127
2	100	kNN (full)	1.0	0.6959132802567893	0.5507450331125828	0.48367419648377163	0.4226929442908832
1	100	Normalized kNN (test)	1.0	0.4048164282514388	0.3355298013245033	0.24610433231008616	0.23197212692965016
1	100	kNN (full)	1.0	0.695321343471614	0.5488576158940397	0.48379017108397376	0.42196008038382277
3	200	Average Rating	1.0	0.2738723317242137	0.22475165562913907	0.15846846696419778	0.15049006014432523
3	200	iMF (test)	1.0	0.5519372763829182	0.4508278145695364	0.37309465516526336	0.3331902041746103
3	200	Normalized kNN (full)	1.0	0.5316440297505742	0.42427152317880795	0.33079818698975444	0.3068928577080766
3	200	Random	1.0	0.08375101489485473	0.07885761589403974	0.04391983727621222	0.046125563455197666
3	200	iMF (full)	1.0	0.686101705265996	0.5438907284768212	0.4696508494603907	0.4125567987379763
3	200	Popularity	1.0	0.44118747921628665	0.35771523178807946	0.26957547137275883	0.2500722762348493
3	200	kNN (test)	1.0	0.63368365541491	0.4970695364238411	0.42911837834628236	0.37516054694448514
3	200	Normalized kNN (test)	1.0	0.330847822054002	0.2862582781456954	0.203078783638883	0.19313690550874008
3	200	kNN (full)	1.0	0.6412762319470081	0.5028973509933775	0.43357805651504944	0.37957337172584693
2	200	Average Rating	1.0	0.25216569377344433	0.2083774834437086	0.15200500607693757	0.1426193693255077
1	200	Average Rating	1.0	0.24076922378882085	0.2093708609271523	0.15421306814352248	0.14436893606615112
2	200	iMF (test)	1.0	0.5450001646326168	0.44925496688741723	0.37671313261535855	0.33551487371295075
1	200	iMF (test)	1.0	0.5414448571632676	0.4435264900662252	0.3703304446589787	0.32993595510961293
2	200	Normalized kNN (full)	1.0	0.5325299303439257	0.4267218543046358	0.3317003310881366	0.30955193711917595
2	200	Random	1.0	0.08476376689724133	0.07832781456953643	0.04626954854520417	0.04688091407557025
1	200	Normalized kNN (full)	1.0	0.529757203124627	0.42394039735099337	0.3327274373156219	0.3094275159787724
1	200	Random	1.0	0.08376832400614057	0.07920529801324504	0.04550415207812319	0.047089388290218574
2	200	iMF (full)	1.0	0.6825515305253236	0.5445860927152318	0.4687428232788527	0.4142544609277105
2	200	Popularity	1.0	0.4424708743186477	0.3544867549668874	0.267851629956004	0.24844124366532316
1	200	iMF (full)	1.0	0.6858963758992518	0.5445198675496689	0.4701924785014552	0.41436402424543756
1	200	Popularity	1.0	0.4469329629991421	0.3601490066225166	0.27552338551357275	0.25321166764222025
2	200	kNN (test)	1.0	0.6369875194395459	0.4995860927152318	0.42921831328611215	0.3776195505671738
1	200	kNN (test)	1.0	0.6336454053982157	0.49635761589403976	0.42933517488141315	0.3759983277188841
2	200	Normalized kNN (test)	1.0	0.32416375402181663	0.2827317880794702	0.20427854131200487	0.19296475506766458
1	200	Normalized kNN (test)	1.0	0.3175106047952224	0.27195364238410596	0.19317545312255904	0.18421232852491057
2	200	kNN (full)	1.0	0.6432878652726115	0.50591059602649	0.43309160747965697	0.38196119914472176
1	200	kNN (full)	1.0	0.6401598599425101	0.500976821192053	0.43166922738424607	0.3792421954571624
1	5	Average Rating	0.9851324503311258	0.7529220315406716	0.6095529801324503	0.5754963719987677	0.48556002635998413
3	50	Average Rating	1.0	0.5127975085602369	0.40211920529801326	0.29907229183943035	0.2792294018463709
1	5	iMF (test)	0.9851324503311258	0.8433705147438895	0.6659271523178808	0.6197736898891987	0.5302833464046208
3	50	iMF (test)	1.0	0.6894088451063975	0.561274834437086	0.4987012471213679	0.4316613695239983
1	5	Normalized kNN (full)	0.9851324503311258	0.7553156363080769	0.6013245033112583	0.556505655282999	0.47323047272542734
1	5	Random	0.9851324503311258	0.5449682566677597	0.4591887417218543	0.471184476133553	0.379231679693361
3	50	Normalized kNN (full)	1.0	0.6143578371273243	0.49087748344370863	0.3851390220326501	0.3570828699590974
3	50	Random	1.0	0.2156180694890339	0.19682119205298013	0.13944940559821803	0.13199192199272655
1	5	iMF (full)	0.9851324503311258	0.8255132945095017	0.6484933774834437	0.6068423683084485	0.5175286597127016
1	5	Popularity	0.9851324503311258	0.7592448609925794	0.6005794701986755	0.5796443800178765	0.4852419187526403
1	5	kNN (test)	0.9851324503311258	0.8197987846716618	0.6424337748344371	0.6050290360187133	0.5140437709516723
3	50	iMF (full)	1.0	0.759441864212663	0.6016887417218543	0.5399974361628637	0.4673923371793728
3	50	Popularity	1.0	0.5598586153543397	0.47857615894039734	0.41651459283458286	0.36420113132333204
3	50	kNN (test)	1.0	0.7138364262296972	0.5670529801324503	0.5103010288583316	0.4392992400631352
1	50	Average Rating	1.0	0.4121342392079175	0.36374172185430464	0.27500754991426674	0.2555679351349712
2	50	Average Rating	1.0	0.513016874389184	0.40203642384105964	0.304838644311462	0.2824941990431683
1	5	Normalized kNN (test)	0.9851324503311258	0.7767592020845038	0.625546357615894	0.5937054481318221	0.5015082520931559
1	50	iMF (test)	1.0	0.6912595913076284	0.5626158940397351	0.5048844419069286	0.4363404160123772
1	5	kNN (full)	0.9851324503311258	0.8169067232213171	0.6403807947019867	0.6024677671988444	0.511764229693043
2	50	iMF (test)	1.0	0.6934538647693104	0.5646523178807947	0.506342173185741	0.438294375902694
3	50	Normalized kNN (test)	1.0	0.5057409140970007	0.4172350993377483	0.327530433049102	0.2975980106818125
1	50	Normalized kNN (full)	1.0	0.6139518390668507	0.49167218543046354	0.3873543630714141	0.36004348071765335
1	50	Random	1.0	0.2146866949865869	0.19678807947019866	0.14087517156703167	0.1333080882197715
3	50	kNN (full)	1.0	0.7205972718931792	0.5702317880794702	0.5112128828292921	0.44098969878108213
2	50	Normalized kNN (full)	1.0	0.6162345701709989	0.4927483443708609	0.38633482773868766	0.3593601787774692
2	50	Random	1.0	0.20864816327032482	0.19213576158940399	0.13438096873544136	0.12863305813631631
1	50	iMF (full)	1.0	0.7593687060127713	0.601953642384106	0.5390607594937143	0.46903260179821094
1	50	Popularity	1.0	0.5675458448886054	0.48152317880794704	0.4215698144387536	0.3673405935113014
2	50	iMF (full)	1.0	0.757079715307828	0.6021688741721855	0.5405809214995078	0.4697866679555477
2	50	Popularity	1.0	0.5618035785001212	0.47647350993377485	0.41618091365358895	0.3638921226033891
1	50	kNN (test)	1.0	0.7165953572482806	0.5689735099337748	0.512449558721641	0.44264915639467123
2	50	kNN (test)	1.0	0.7167164053910982	0.5687086092715232	0.5135384547000909	0.4429314974053173
1	50	Normalized kNN (test)	1.0	0.48531882594005343	0.4022185430463576	0.31280842461385105	0.287378352444542
2	50	Normalized kNN (test)	1.0	0.5040982123861375	0.4135927152317881	0.3274570531378694	0.2975562666062179
1	50	kNN (full)	1.0	0.7220782117695074	0.570728476821192	0.5118478331287342	0.44310703629968784
2	50	kNN (full)	1.0	0.7233524209992059	0.5734602649006623	0.5141043524359367	0.4453086734521562
1	20	Average Rating	1.0	0.44114513236675007	0.3951324503311258	0.3197864076872142	0.28638865095451643
1	20	iMF (test)	1.0	0.7387257310175198	0.6006456953642384	0.549516790059443	0.47078224079951675
1	20	Normalized kNN (full)	1.0	0.6507318593582212	0.5234933774834437	0.43424965462418863	0.39174080427175123
