target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	0.0	1.257119697262534E-43	1.7550423205865842E-45	3.317988858464125E-41	1.8788702606643323E-52
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	0.0	6.334438082324088E-34	0.0034745580997947436	4.761736278586179E-23
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (full)	0.0	0.0	0.0	1.3490537393085766E-304	0.0
20	Popularity	Average Rating	NaN	0.0	1.0580202385524473E-231	9.007582468207357E-161	1.8092840105806107E-232
20	Popularity	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	0.0	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	0.0	0.0	2.4029131462544097E-8	2.0977130359612097E-10	1.9341522334200317E-12
50	Popularity	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
50	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	kNN (full)	0.04549826388815354	0.0	3.3964027655179235E-231	2.7011508757538106E-167	1.1438425701974337E-229
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	0.0	0.0	1.3789619043264147E-45	1.5165443245787926E-24	8.043068971807568E-41
5	iMF (full)	Average Rating	NaN	0.0	1.7242350280300946E-231	4.0847626259343265E-146	5.17816989983958E-231
5	iMF (full)	Popularity	NaN	0.0	1.1069132777964022E-166	3.4952534202793876E-108	4.300330548549273E-165
5	iMF (full)	kNN (full)	0.0	7.751669703576878E-122	2.7131417E-317	6.7818408895E-314	0.0
5	iMF (full)	kNN (test)	0.0	1.0921701377285349E-14	3.7608419327919256E-4	0.1087136815170141	0.014289674596624918
5	iMF (full)	iMF (test)	NaN	7.377671022426E-40	8.533580427271057E-14	9.84943494184829E-8	4.133324989992604E-13
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	1.7713035115978737E-57	2.2534447648336927E-56	1.4700037121797842E-33	3.2839132344711126E-52
200	Average Rating	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
200	Average Rating	Normalized kNN (test)	NaN	2.8759193335111436E-21	1.473760029027242E-19	1.1507143992214593E-27	1.7922608660274514E-27
20	Normalized kNN (test)	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	kNN (full)	0.0	0.0	0.0	1.638894594783325E-298	0.0
20	Normalized kNN (test)	Average Rating	NaN	0.0	2.2399273251405767E-173	4.831584540244428E-218	1.1071239002867475E-210
20	Normalized kNN (test)	Normalized kNN (full)	0.0	4.1990563992891734E-18	0.0	0.0	0.0
0	Normalized kNN (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Random	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Popularity	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Average Rating	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	iMF (full)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	kNN (test)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Normalized kNN (test)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	iMF (full)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	kNN (test)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	Normalized kNN (test)	0.0	0.0	2.100223833948236E-19	3.101468204731216E-73	1.4647275051209867E-41
50	Normalized kNN (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	Random	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	Average Rating	0.0	0.0	7.851159955248974E-31	6.640155791814521E-7	7.994239473822247E-21
100	kNN (test)	Popularity	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	iMF (full)	NaN	3.0573715200587676E-11	1.7584050241097513E-5	0.42410693398326027	0.006040744367134281
100	kNN (test)	iMF (test)	NaN	1.2175789595254421E-15	7.71481050983903E-5	0.0059255516685049366	4.1321569915664696E-5
100	kNN (test)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
100	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	kNN (full)	NaN	2.807320795442933E-48	2.5173692443628542E-129	6.224157375846839E-129	3.411250477264661E-146
0	kNN (full)	Random	0.0	4.749625765441676E-19	9.498849052209405E-155	1.0042492509740136E-247	3.43995831873352E-215
0	kNN (full)	iMF (test)	0.0	2.561045255733E-311	0.0	0.0	0.0
0	kNN (full)	Popularity	0.0	6.466815890994268E-7	8.386667674379592E-265	8.423E-320	0.0
0	kNN (full)	Average Rating	0.0	3.000935052995648E-105	0.0	0.0	0.0
